Entity,Code,Year,Suicide rate (WHO (2005)),Life satisfaction in Cantril Ladder (World Happiness Report 2019),Total population (Gapminder & UN),Continent
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,2002,6.867054,3.723589897,25070798,
Afghanistan,AFG,2004,6.6843853,3.723589897,25070798,
Afghanistan,AFG,2005,6.6843853,3.723589897,25070798,
Afghanistan,AFG,2015,,,,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,,,Asia
Albania,ALB,2002,2.792918,4.634251595,3079179,
Albania,ALB,2004,7.699329853,4.634251595,3079179,
Albania,ALB,2005,7.699329853,4.634251595,3079179,
Albania,ALB,2015,,,,Europe
Algeria,DZA,2002,3.754641,5.46356678,33288437,
Algeria,DZA,2004,4.848769665,5.46356678,33288437,
Algeria,DZA,2005,4.848769665,5.46356678,33288437,
Algeria,DZA,2015,,,,Africa
American Samoa,ASM,2015,,,,Oceania
Andorra,AND,2002,5.460766,,78867,
Andorra,AND,2004,5.362178802,,78867,
Andorra,AND,2005,5.362178802,,78867,
Andorra,AND,2015,,,,Europe
Angola,AGO,2002,11.94146,,19552542,
Angola,AGO,2004,14.55467701,,19552542,
Angola,AGO,2005,14.55467701,,19552542,
Angola,AGO,2015,,,,Africa
Anguilla,AIA,2015,,,,North America
Antarctica,ATA,2015,,,,Antarctica
Antigua and Barbuda,ATG,2002,0.4761568,,89253,
Antigua and Barbuda,ATG,2004,2.1618433,,89253,
Antigua and Barbuda,ATG,2005,2.1618433,,89253,
Antigua and Barbuda,ATG,2015,,,,North America
Argentina,ARG,1966,7.916583,6.312925339,39145488,
Argentina,ARG,1967,9.915176,6.312925339,39145488,
Argentina,ARG,1968,10.74287,6.312925339,39145488,
Argentina,ARG,1969,10.48032,6.312925339,39145488,
Argentina,ARG,1970,10.29312,6.312925339,39145488,
Argentina,ARG,1977,7.778694,6.312925339,39145488,
Argentina,ARG,1978,7.920763,6.312925339,39145488,
Argentina,ARG,1979,6.838789,6.312925339,39145488,
Argentina,ARG,1980,7.482319,6.312925339,39145488,
Argentina,ARG,1981,8.257092,6.312925339,39145488,
Argentina,ARG,1982,7.042588,6.312925339,39145488,
Argentina,ARG,1983,6.405541,6.312925339,39145488,
Argentina,ARG,1984,6.581609,6.312925339,39145488,
Argentina,ARG,1985,6.916961,6.312925339,39145488,
Argentina,ARG,1986,7.883313,6.312925339,39145488,
Argentina,ARG,1987,7.797068,6.312925339,39145488,
Argentina,ARG,1988,7.753856,6.312925339,39145488,
Argentina,ARG,1989,7.32608,6.312925339,39145488,
Argentina,ARG,1990,6.826613,6.312925339,39145488,
Argentina,ARG,1991,6.151737,6.312925339,39145488,
Argentina,ARG,1992,6.862964,6.312925339,39145488,
Argentina,ARG,1993,6.864534,6.312925339,39145488,
Argentina,ARG,1994,6.766797,6.312925339,39145488,
Argentina,ARG,1995,6.497159,6.312925339,39145488,
Argentina,ARG,1996,6.521007,6.312925339,39145488,
Argentina,ARG,1997,6.404548,6.312925339,39145488,
Argentina,ARG,1998,6.571886,6.312925339,39145488,
Argentina,ARG,1999,6.705275,6.312925339,39145488,
Argentina,ARG,2000,7.578039,6.312925339,39145488,
Argentina,ARG,2001,8.426514,6.312925339,39145488,
Argentina,ARG,2002,8.399384,6.312925339,39145488,
Argentina,ARG,2003,8.574696,6.312925339,39145488,
Argentina,ARG,2004,8.045732,6.312925339,39145488,
Argentina,ARG,2005,7.765584,6.312925339,39145488,
Argentina,ARG,2015,,,,South America
Armenia,ARM,2002,3.223157,4.289310932,2981259,
Armenia,ARM,2004,3.741587877,4.289310932,2981259,
Armenia,ARM,2005,3.741587877,4.289310932,2981259,
Armenia,ARM,2015,,,,Asia
Aruba,ABW,2015,,,,North America
Australia,AUS,1950,9.11394,7.340688229,20238903,
Australia,AUS,1951,9.414491,7.340688229,20238903,
Australia,AUS,1952,10.52931,7.340688229,20238903,
Australia,AUS,1953,10.77947,7.340688229,20238903,
Australia,AUS,1954,10.70571,7.340688229,20238903,
Australia,AUS,1955,10.29923,7.340688229,20238903,
Australia,AUS,1956,10.83826,7.340688229,20238903,
Australia,AUS,1957,12.24532,7.340688229,20238903,
Australia,AUS,1958,12.51539,7.340688229,20238903,
Australia,AUS,1959,11.26922,7.340688229,20238903,
Australia,AUS,1960,10.84956,7.340688229,20238903,
Australia,AUS,1961,12.21164,7.340688229,20238903,
Australia,AUS,1962,14.19252,7.340688229,20238903,
Australia,AUS,1963,16.3551,7.340688229,20238903,
Australia,AUS,1964,15.12317,7.340688229,20238903,
Australia,AUS,1965,15.43313,7.340688229,20238903,
Australia,AUS,1966,14.58644,7.340688229,20238903,
Australia,AUS,1967,15.65878,7.340688229,20238903,
Australia,AUS,1968,13.19256,7.340688229,20238903,
Australia,AUS,1969,12.76834,7.340688229,20238903,
Australia,AUS,1970,12.83559,7.340688229,20238903,
Australia,AUS,1971,14.15584,7.340688229,20238903,
Australia,AUS,1972,13.0239,7.340688229,20238903,
Australia,AUS,1973,12.02608,7.340688229,20238903,
Australia,AUS,1974,12.06323,7.340688229,20238903,
Australia,AUS,1975,11.39783,7.340688229,20238903,
Australia,AUS,1976,11.01759,7.340688229,20238903,
Australia,AUS,1977,11.29412,7.340688229,20238903,
Australia,AUS,1978,11.27129,7.340688229,20238903,
Australia,AUS,1979,11.64795,7.340688229,20238903,
Australia,AUS,1980,10.9455,7.340688229,20238903,
Australia,AUS,1981,11.08437,7.340688229,20238903,
Australia,AUS,1982,11.35668,7.340688229,20238903,
Australia,AUS,1983,10.6924,7.340688229,20238903,
Australia,AUS,1984,10.94829,7.340688229,20238903,
Australia,AUS,1985,11.36893,7.340688229,20238903,
Australia,AUS,1986,12.27354,7.340688229,20238903,
Australia,AUS,1987,12.67795,7.340688229,20238903,
Australia,AUS,1988,12.457,7.340688229,20238903,
Australia,AUS,1989,11.61991,7.340688229,20238903,
Australia,AUS,1990,12.21795,7.340688229,20238903,
Australia,AUS,1991,12.50919,7.340688229,20238903,
Australia,AUS,1992,12.13431,7.340688229,20238903,
Australia,AUS,1993,10.8313,7.340688229,20238903,
Australia,AUS,1994,12.03813,7.340688229,20238903,
Australia,AUS,1995,11.34692,7.340688229,20238903,
Australia,AUS,1996,12.44981,7.340688229,20238903,
Australia,AUS,1997,13.50883,7.340688229,20238903,
Australia,AUS,1998,13.31107,7.340688229,20238903,
Australia,AUS,1999,12.37532,7.340688229,20238903,
Australia,AUS,2000,11.69399,7.340688229,20238903,
Australia,AUS,2001,11.84839,7.340688229,20238903,
Australia,AUS,2002,11.03015,7.340688229,20238903,
Australia,AUS,2003,10.10695,7.340688229,20238903,
Australia,AUS,2004,9.656323,7.340688229,20238903,
Australia,AUS,2005,8.470030125,7.340688229,20238903,
Australia,AUS,2015,,,,Oceania
Austria,AUT,1955,20.5962,7.122211456,8253650,
Austria,AUT,1956,19.92693,7.122211456,8253650,
Austria,AUT,1957,20.9564,7.122211456,8253650,
Austria,AUT,1958,20.79216,7.122211456,8253650,
Austria,AUT,1959,21.81896,7.122211456,8253650,
Austria,AUT,1960,20.19164,7.122211456,8253650,
Austria,AUT,1961,19.24125,7.122211456,8253650,
Austria,AUT,1962,19.71283,7.122211456,8253650,
Austria,AUT,1963,19.32392,7.122211456,8253650,
Austria,AUT,1964,19.99342,7.122211456,8253650,
Austria,AUT,1965,20.16066,7.122211456,8253650,
Austria,AUT,1966,20.39829,7.122211456,8253650,
Austria,AUT,1967,19.63787,7.122211456,8253650,
Austria,AUT,1968,19.63363,7.122211456,8253650,
Austria,AUT,1969,20.016,7.122211456,8253650,
